Id,SalePrice
1461,125575.266
1462,158733.98
1463,190666.67
1464,192220.5
1465,197059.2
1466,172928.95
1467,175198.56
1468,171312.17
1469,179394.1
1470,125387.05
1471,193015.19
1472,94835.71
1473,98581.13
1474,152251.81
1475,139242.95
1476,434002.7
1477,256366.8
1478,320359.16
1479,237902.39
1480,495919.66
1481,322424.62
1482,204947.78
1483,175778.81
1484,175147.33
1485,173433.31
1486,200354.19
1487,358492.97
1488,223194.3
1489,213029.64
1490,198800.72
1491,183808.33
1492,84227.83
1493,179764.7
1494,288937.7
1495,280696.16
1496,244518.31
1497,190367.05
1498,155793.73
1499,154831.12
1500,153644.16
1501,183822.36
1502,160393.9
1503,323174.9
1504,234946.06
1505,218862.14
1506,186591.14
1507,237227.8
1508,208222.2
1509,163716.7
1510,146620.52
1511,143440.25
1512,168042.78
1513,152317.28
1514,174225.27
1515,178754.9
1516,158005.34
1517,158112.11
1518,125922.68
1519,220604.1
1520,135677.4
1521,138769.14
1522,163424.95
1523,112270.13
1524,120607.04
1525,120670.086
1526,119095.086
1527,105074.42
1528,131537.1
1529,148061.44
1530,170346.9
1531,116745.77
1532,107217.32
1533,145020.72
1534,114425.19
1535,163048.94
1536,116846.6
1537,71265.766
1538,183564.73
1539,173319.66
1540,104193.01
1541,148388.81
1542,150710.0
1543,228422.78
1544,78839.375
1545,101770.734
1546,126384.57
1547,137562.1
1548,134749.25
1549,117505.766
1550,151868.22
1551,111542.89
1552,134865.98
1553,150748.66
1554,117848.33
1555,183782.92
1556,88879.68
1557,113039.74
1558,83830.305
1559,92362.734
1560,131106.27
1561,146489.1
1562,128225.914
1563,117831.39
1564,155658.53
1565,153118.05
1566,215973.61
1567,71799.02
1568,235131.73
1569,160216.05
1570,136893.88
1571,133525.12
1572,147855.36
1573,245735.4
1574,109922.336
1575,211615.92
1576,228049.34
1577,209963.42
1578,149259.08
1579,141780.62
1580,191387.67
1581,151959.14
1582,128056.63
1583,343295.5
1584,234546.31
1585,139273.22
1586,67147.12
1587,95253.56
1588,154342.77
1589,94978.56
1590,124164.86
1591,102600.05
1592,129869.82
1593,118540.02
1594,132267.45
1595,109157.664
1596,245308.23
1597,169238.23
1598,195368.3
1599,200191.44
1600,188393.64
1601,72190.26
1602,112874.64
1603,88478.445
1604,274467.94
1605,240630.17
1606,166221.34
1607,156540.98
1608,214407.2
1609,204460.52
1610,167894.11
1611,139860.73
1612,155295.44
1613,158675.86
